Distrito,Concelho,Freguesia,AreaCode,Party,Percentage,Votes
Aveiro,Anadia,Avelãs de Cima,010305,CDS-PP,2.97,29
Aveiro,Anadia,Avelãs de Cima,010305,IL,2.86,28
Aveiro,Anadia,Avelãs de Cima,010305,PCP-PEV,0.72,7
Aveiro,Anadia,Avelãs de Cima,010305,L,0.51,5
Aveiro,Anadia,Avelãs de Cima,010305,R.I.R.,0.51,5
Aveiro,Anadia,Avelãs de Cima,010305,PCTP/MRPP,0.41,4
Aveiro,Anadia,Avelãs de Cima,010305,PAN,0.31,3
Aveiro,Anadia,Avelãs de Cima,010305,ADN,0.10,1
Aveiro,Anadia,Avelãs de Cima,010305,MPT,0.10,1
Aveiro,Anadia,Avelãs de Cima,010305,VP,0.10,1
Aveiro,Anadia,Avelãs de Cima,010305,E,0.00,0
Aveiro,Anadia,Avelãs de Cima,010305,JPP,0.00,0
Aveiro,Anadia,Avelãs de Cima,010305,MAS,0.00,0
Aveiro,Anadia,Moita,010307,PPD/PSD,42.80,508
Aveiro,Anadia,Moita,010307,PS,33.61,399
Aveiro,Anadia,Moita,010307,CH,6.66,79
Aveiro,Anadia,Moita,010307,IL,4.13,49
Aveiro,Anadia,Moita,010307,B.E.,3.79,45
Aveiro,Anadia,Moita,010307,CDS-PP,2.27,27
Aveiro,Anadia,Moita,010307,PAN,1.26,15
Aveiro,Anadia,Moita,010307,PCP-PEV,1.26,15
Aveiro,Anadia,Moita,010307,L,0.84,10
Aveiro,Anadia,Moita,010307,R.I.R.,0.67,8
Aveiro,Anadia,Moita,010307,PCTP/MRPP,0.25,3
